±§¡æ,±‚∞£,Ω√¿Â¿ß«Ë¡ˆºˆ
∆‰∑Œ∏Ù∏Æ∫Íµß,2015-03-01,66.82076838
∆‰∑Œ∏Ù∏Æ∫Íµß,2015-04-01,71.94198601
∆‰∑Œ∏Ù∏Æ∫Íµß,2015-05-01,74.39828548
∆‰∑Œ∏Ù∏Æ∫Íµß,2015-06-01,79.75215623
∆‰∑Œ∏Ù∏Æ∫Íµß,2015-07-01,83.15728157
∆‰∑Œ∏Ù∏Æ∫Íµß,2015-08-01,91.36565296
∆‰∑Œ∏Ù∏Æ∫Íµß,2015-09-01,93.25818755
∆‰∑Œ∏Ù∏Æ∫Íµß,2015-10-01,94.63029427
∆‰∑Œ∏Ù∏Æ∫Íµß,2015-11-01,95.77983044
∆‰∑Œ∏Ù∏Æ∫Íµß,2015-12-01,96.96711021
∆‰∑Œ∏Ù∏Æ∫Íµß,2016-01-01,97.2092721
∆‰∑Œ∏Ù∏Æ∫Íµß,2016-02-01,95.39637179
∆‰∑Œ∏Ù∏Æ∫Íµß,2016-03-01,95.04233491
∆‰∑Œ∏Ù∏Æ∫Íµß,2016-04-01,94.60159929
∆‰∑Œ∏Ù∏Æ∫Íµß,2016-05-01,93.48679289
∆‰∑Œ∏Ù∏Æ∫Íµß,2016-06-01,87.14055296
∆‰∑Œ∏Ù∏Æ∫Íµß,2016-07-01,77.70110756
∆‰∑Œ∏Ù∏Æ∫Íµß,2016-08-01,85.58094304
∆‰∑Œ∏Ù∏Æ∫Íµß,2016-09-01,82.75310954
∆‰∑Œ∏Ù∏Æ∫Íµß,2016-10-01,81.79522429
∆‰∑Œ∏Ù∏Æ∫Íµß,2016-11-01,84.92268847
∆‰∑Œ∏Ù∏Æ∫Íµß,2016-12-01,85.22794455
∆‰∑Œ∏Ù∏Æ∫Íµß,2017-01-01,84.11534723
∆‰∑Œ∏Ù∏Æ∫Íµß,2017-02-01,81.22376137
∆‰∑Œ∏Ù∏Æ∫Íµß,2017-03-01,77.1170536
∆‰∑Œ∏Ù∏Æ∫Íµß,2017-04-01,69.13632625
∆‰∑Œ∏Ù∏Æ∫Íµß,2017-05-01,57.47526877
∆‰∑Œ∏Ù∏Æ∫Íµß,2017-06-01,62.57911947
∆‰∑Œ∏Ù∏Æ∫Íµß,2017-07-01,74.18012103
∆‰∑Œ∏Ù∏Æ∫Íµß,2017-08-01,79.39955361
∆‰∑Œ∏Ù∏Æ∫Íµß,2017-09-01,73.46704161
∆‰∑Œ∏Ù∏Æ∫Íµß,2017-10-01,66.59712902
∆‰∑Œ∏Ù∏Æ∫Íµß,2017-11-01,70.81491796
∆‰∑Œ∏Ù∏Æ∫Íµß,2017-12-01,69.84906625
∆‰∑Œ∏Ù∏Æ∫Íµß,2018-01-01,58.52227575
∆‰∑Œ∏Ù∏Æ∫Íµß,2018-02-01,31.89676558
∆‰∑Œ∏Ù∏Æ∫Íµß,2018-03-01,21.59394253
∆‰∑Œ∏Ù∏Æ∫Íµß,2018-04-01,16.40747316
∆‰∑Œ∏Ù∏Æ∫Íµß,2018-05-01,20.73393279
∆‰∑Œ∏Ù∏Æ∫Íµß,2018-06-01,27.38846018
∆‰∑Œ∏Ù∏Æ∫Íµß,2018-07-01,32.1842269
∆‰∑Œ∏Ù∏Æ∫Íµß,2018-08-01,33.78461022
∆‰∑Œ∏Ù∏Æ∫Íµß,2018-09-01,25.17416788
∆‰∑Œ∏Ù∏Æ∫Íµß,2018-10-01,24.39340276
∆‰∑Œ∏Ù∏Æ∫Íµß,2018-11-01,25.92908126
∆‰∑Œ∏Ù∏Æ∫Íµß,2018-12-01,26.95470392
∆‰∑Œ∏Ù∏Æ∫Íµß,2019-01-01,26.22307927
∆‰∑Œ∏Ù∏Æ∫Íµß,2019-02-01,45.13767193
∆‰∑Œ∏Ù∏Æ∫Íµß,2019-03-01,40.60827237
∆‰∑Œ∏Ù∏Æ∫Íµß,2019-04-01,32.70133262
∆‰∑Œ∏Ù∏Æ∫Íµß,2019-05-01,35.54775771
∆‰∑Œ∏Ù∏Æ∫Íµß,2019-06-01,37.0617527
∆‰∑Œ∏Ù∏Æ∫Íµß,2019-07-01,35.55371797
∆‰∑Œ∏Ù∏Æ∫Íµß,2019-08-01,37.51265718
∆‰∑Œ∏Ù∏Æ∫Íµß,2019-09-01,44.31604079
∆‰∑Œ∏Ù∏Æ∫Íµß,2019-10-01,44.8606491
∆‰∑Œ∏Ù∏Æ∫Íµß,2019-11-01,54.61490938
∆‰∑Œ∏Ù∏Æ∫Íµß,2019-12-01,76.31429679
∆‰∑Œ∏Ù∏Æ∫Íµß,2020-01-01,72.3783095
∆‰∑Œ∏Ù∏Æ∫Íµß,2020-02-01,69.43533942
